diameters_217,diameters_398,diameters_1023,loop_diameter_398_2loop,loop_diameter_398_3loop,startSites_217nm,startSites_398nm,startSites_398_2loop,startSites_398_3loop,startSites_1023nm
22.373373012594,41,43,21,24,0,0.31407,0,0.10214,0.177966101694915
39.5414487884725,46,66,14,27,0.30097,0.18204,0.24093,0.12718,0.390642002176279
25.1862430204838,56,33,36,30,0.19369,0.26875,0.084469,0.11257,0.191011235955056
18.7075694478079,21,39,36,24,0.16957,0.2323,0,0,0.414221218961625
25.1862430204838,48,93,52,20,0.14957,0.19855,0.10104,0.17115,0.148148148148148
17.5218898925948,25,33,40,18,0,0,0.20812,0.090674,0.35027027027027
50.4134814378542,36,90,27,25,0,0.17664,0,,0.392094017094017
19.7521741059614,42,103,51,32,0.31429,0.13351,0.14876,,0
18.7075694478079,30,,19,29,0,0.06267,0,,
21.5650295518468,32,,24,31,0.058252,0.13092,0.086283,,
22.373373012594,75,,25,29,0.28182,0.22222,0.13896,,
31.5356010452603,47,,24,34,0.26606,0,0.24694,,
20.6965689049831,29,,26,25,0.26728,0.27949,0.14688,,
19.7521741059614,40,,46,18,0.15487,0.041885,0.17918,,
24.5336556608218,64,,31,19,0.27731,0,0.16471,,
21.5650295518468,29,,23,19,0.23394,0.19242,0.17028,,
20.6965689049831,51,,29,17,0.22973,0,0.15741,,
20.6965689049831,29,,31,19,0.22381,0.13864,0.23077,,
28.631291136538,26,,32,41,0,0.21253,0.27297,,
18.7075694478079,36,,53,28,0.25214,0.12807,0,,
30.13550910128,52,,27,30,0.29524,0.15502,0.10541,,
24.5336556608218,20,,28,19,0.31429,0.21182,0,,
21.5650295518468,20,,39,22,0.031128,0.32194,0,,
18.7075694478079,35,,33,16,0.30435,,0,,
28.631291136538,54,,30,28,0.29648,,0.18507,,
26.9955513622287,15,,26,18,0.093458,,0.075061,,
19.7521741059614,25,,31,14,0.35616,,0.21407,,
18.7075694478079,50,,18,22,0.34025,,0,,
24.5336556608218,67,,29,42,0,,0,,
21.5650295518468,50,,32,18,0.20745,,0.12392,,
17.5218898925948,18,,54,16,0.26939,,0.19212,,
18.7075694478079,33,,36,16,0.31624,,0.18125,,
23.132585789359,22,,28,26,0,,0.12948,,
25.8121600789342,46,,22,21,0.28095,,0.17313,,
25.1862430204838,,,48,23,0.2156,,0,,
17.5218898925948,,,62,38,0.1036,,0.25625,,
34.4949850561342,,,27,26,0.29524,,0.12836,,
28.631291136538,,,32,23,0.19126,,0,,
28.631291136538,,,20,22,0.18932,,0,,
20.6965689049831,,,18,66,0.21963,,0.15152,,
28.631291136538,,,15,25,0.21788,,0,,
19.7521741059614,,,44,25,,,0.11271,,
20.6965689049831,,,38,31,,,,,
25.8121600789342,,,42,24,,,,,
34.0943494406707,,,38,37,,,,,
18.7075694478079,,,63,24,,,,,
16.1154548886499,,,39,20,,,,,
36.7738603630498,,,45,25,,,,,
19.7521741059614,,,33,26,,,,,
24.5336556608218,,,25,27,,,,,
20.6965689049831,,,44,23,,,,,
25.8121600789342,,,14,21,,,,,
31.0791696266902,,,23,16,,,,,
21.5650295518468,,,23,20,,,,,
21.5650295518468,,,50,19,,,,,
20.6965689049831,,,27,28,,,,,
27.55760213091,,,33,37,,,,,
0,,,29,43,,,,,
17.5218898925948,,,42,24,,,,,
20.6965689049831,,,28,18,,,,,
22.373373012594,,,23,44,,,,,
32.8505961483727,,,27,21,,,,,
16.1154548886499,,,28,25,,,,,
26.4144318456657,,,35,23,,,,,
,,,30,19,,,,,
,,,37,33,,,,,
,,,18,26,,,,,
,,,26,21,,,,,
,,,11,17,,,,,
,,,23,30,,,,,
,,,18,26,,,,,
,,,11,35,,,,,
,,,16,27,,,,,
,,,12,37,,,,,
,,,42,13,,,,,
,,,40,47,,,,,
,,,37,26,,,,,
,,,8,23,,,,,
,,,30,12,,,,,
,,,23,13,,,,,
,,,27,28,,,,,
,,,29,28,,,,,
,,,50,23,,,,,
,,,20,22,,,,,
,,,35,28,,,,,
,,,19,24,,,,,
,,,41,16,,,,,
,,,51,31,,,,,
,,,16,35,,,,,
,,,48,34,,,,,
,,,25,,,,,,
,,,53,,,,,,
,,,37,,,,,,
,,,30,,,,,,
,,,34,,,,,,
,,,21,,,,,,
,,,21,,,,,,
,,,44,,,,,,
,,,27,,,,,,
,,,27,,,,,,
,,,32,,,,,,
,,,25,,,,,,
,,,38,,,,,,
,,,19,,,,,,
,,,32,,,,,,
,,,31,,,,,,
,,,17,,,,,,
,,,24,,,,,,
,,,28,,,,,,
,,,30,,,,,,
,,,44,,,,,,
,,,26,,,,,,
,,,21,,,,,,
,,,24,,,,,,
,,,28,,,,,,
,,,26,,,,,,
,,,26,,,,,,
,,,43,,,,,,
,,,58,,,,,,
,,,25,,,,,,
